REQID,CLIENTID,REASON,LOAN,BAD,DEROG,DELINQ,CLAGE,NINQ,DEBTINC,INCOME,JOB,YOJ,CHECKING,SAVINGS,INVEST,CREDIT_SCORE
10000,11135157-kwqm,HI,21600,0,0,0,626.7713928,1,21.24168423,178040,Other,10.5,1,0,0,761
10010,11167992-pwpn,HI,26400,0,1,0,255.415514,3,37.65291911,123255,Other,4,0,0,1,827
10020,11168688-cxzh,DC,22000,1,,12,218,1,35.72993802,102975,,,1,0,0,512
10040,11197158-lkfr,DC,17400,0,0,0,148.9162275,1,34.38702843,52110,Other,11,1,1,0,608
10050,11200784-wuav,DC,27300,0,0,0,144.0934649,0,41.48280369,61960,Other,3,0,0,0,417
10060,11215088-pkyx,DC,31300,0,0,0,230.4130352,0,42.66665957,45475,Sales,16,1,0,0,574
10070,11233225-fuhy,DC,21700,0,0,0,154.5525474,1,34.7717086,52660,Office,11,1,1,0,543
10080,11253017-kone,HI,10000,1,0,0,171.4333333,0,39.00537158,61495,Mgr,2.5,1,1,0,608
10090,11344457-jipv,DC,21300,0,0,0,185.7,0,16.65478508,43615,Other,,0,0,0,564
10100,11413361-jldi,HI,65200,0,0,1,134.6809067,0,43.56886383,61895,Mgr,7,1,1,0,765
10110,11423386-mrdx,DC,10800,1,0,0,110.5666667,5,20.48651449,61550,Office,2,0,1,0,827
10120,11431615-wulp,HI,4700,0,2,0,283.9595381,0,36.47547328,61870,ProfExe,5,1,0,0,635
10130,11468715-pakp,DC,19200,0,0,0,128.7145138,1,22.18728999,46285,Mgr,12,1,0,0,642
10150,11534853-qgfe,DC,16500,0,,,102.1303682,2,31.56688527,44250,Other,,0,1,0,867
10160,11547946-ovqh,HI,12000,0,0,2,206.3192338,1,29.84313667,46670,,18,1,0,0,726
10170,11560874-zbhe,HI,5900,0,0,0,120.3794143,0,41.44250046,43090,Other,10,0,1,0,620
10180,11561461-vzkh,AF,9000,0,0,0,243.2,0,10.92285873,45255,Self,,0,0,0,416
10190,11603129-wcdh,MD,12600,0,0,0,266.3331014,0,27.0078722,52645,Self,26,0,0,0,626
10200,11626975-xlkf,DC,16600,0,0,0,98.76022323,1,39.7995274,61600,Office,1,1,1,0,308
10210,11693280-fmri,HI,40500,0,0,0,143.1288344,0,35.3375454,52475,Office,2,0,1,0,765
10220,11759432-zckh,HI,9100,0,0,0,206.797361,1,32.39114639,61480,Other,16,0,0,0,539
